contract_id,reason
235069043,MULTI_PRODUCT_BPC_PACK_SKIPPED_FAST_MODE
235069438,CAPITAL_HULL_BLUEPRINT_EXCLUDED
235069440,CAPITAL_HULL_BLUEPRINT_EXCLUDED
235069478,MULTI_PRODUCT_BPC_PACK_SKIPPED_FAST_MODE
235069548,MULTI_PRODUCT_BPC_PACK_SKIPPED_FAST_MODE
235069566,MULTI_PRODUCT_BPC_PACK_SKIPPED_FAST_MODE
235069703,BATCH_VALUE_BELOW_FAST_FLOOR
235069710,BATCH_VALUE_BELOW_FAST_FLOOR
235069737,MULTI_PRODUCT_BPC_PACK_SKIPPED_FAST_MODE
235070126,CAPITAL_HULL_BLUEPRINT_EXCLUDED
235070134,CAPITAL_HULL_BLUEPRINT_EXCLUDED
235070234,INSUFFICIENT_JITA_BUY_DEPTH
235070455,MULTI_PRODUCT_BPC_PACK_SKIPPED_FAST_MODE
235070698,MULTI_PRODUCT_BPC_PACK_SKIPPED_FAST_MODE
235070713,BATCH_VALUE_BELOW_FAST_FLOOR
235070816,MULTI_PRODUCT_BPC_PACK_SKIPPED_FAST_MODE
235070914,MULTI_PRODUCT_BPC_PACK_SKIPPED_FAST_MODE
235070968,BATCH_VALUE_BELOW_FAST_FLOOR
235071072,MULTI_PRODUCT_BPC_PACK_SKIPPED_FAST_MODE
235071370,BATCH_VALUE_BELOW_FAST_FLOOR
235071431,CAPITAL_HULL_BLUEPRINT_EXCLUDED
235071503,MULTI_PRODUCT_BPC_PACK_SKIPPED_FAST_MODE
235071631,CAPITAL_HULL_BLUEPRINT_EXCLUDED
235072499,BATCH_VALUE_BELOW_FAST_FLOOR
235072958,BATCH_VALUE_BELOW_FAST_FLOOR
235073584,BATCH_VALUE_BELOW_FAST_FLOOR
235073586,BATCH_VALUE_BELOW_FAST_FLOOR
235073627,BATCH_VALUE_BELOW_FAST_FLOOR
235073641,BATCH_VALUE_BELOW_FAST_FLOOR
235074337,STRUCTURE_BLUEPRINT_EXCLUDED
235074665,BATCH_VALUE_BELOW_FAST_FLOOR
235074701,BATCH_VALUE_BELOW_FAST_FLOOR
235074766,INSUFFICIENT_JITA_BUY_DEPTH
235075161,BATCH_VALUE_BELOW_FAST_FLOOR
235075266,BATCH_VALUE_BELOW_FAST_FLOOR
235075276,BATCH_VALUE_BELOW_FAST_FLOOR
235075353,BATCH_VALUE_BELOW_FAST_FLOOR
235075741,CAPITAL_HULL_BLUEPRINT_EXCLUDED
235075750,CAPITAL_HULL_BLUEPRINT_EXCLUDED
235075758,CAPITAL_HULL_BLUEPRINT_EXCLUDED
235076182,BATCH_VALUE_BELOW_FAST_FLOOR
235076488,BATCH_VALUE_BELOW_FAST_FLOOR
235077619,BATCH_VALUE_BELOW_FAST_FLOOR
235077710,BATCH_VALUE_BELOW_FAST_FLOOR
235077965,BATCH_VALUE_BELOW_FAST_FLOOR
235078702,BATCH_VALUE_BELOW_FAST_FLOOR
235078953,BATCH_VALUE_BELOW_FAST_FLOOR
235078993,BATCH_VALUE_BELOW_FAST_FLOOR
235079011,BATCH_VALUE_BELOW_FAST_FLOOR
235082088,INSUFFICIENT_JITA_BUY_DEPTH
235082094,BATCH_VALUE_BELOW_FAST_FLOOR
235082097,BATCH_VALUE_BELOW_FAST_FLOOR
235082103,BATCH_VALUE_BELOW_FAST_FLOOR
235082106,BATCH_VALUE_BELOW_FAST_FLOOR
235082119,BATCH_VALUE_BELOW_FAST_FLOOR
235082126,BATCH_VALUE_BELOW_FAST_FLOOR
235082130,BATCH_VALUE_BELOW_FAST_FLOOR
235082143,BATCH_VALUE_BELOW_FAST_FLOOR
235082148,BATCH_VALUE_BELOW_FAST_FLOOR
235082149,BATCH_VALUE_BELOW_FAST_FLOOR
235082156,BATCH_VALUE_BELOW_FAST_FLOOR
235082222,BATCH_VALUE_BELOW_FAST_FLOOR
235082857,BATCH_VALUE_BELOW_FAST_FLOOR
235083513,STRUCTURE_BLUEPRINT_EXCLUDED
235083951,BATCH_VALUE_BELOW_FAST_FLOOR
235084001,BATCH_VALUE_BELOW_FAST_FLOOR
235084013,BATCH_VALUE_BELOW_FAST_FLOOR
235085528,BATCH_VALUE_BELOW_FAST_FLOOR
235086711,INSUFFICIENT_JITA_BUY_DEPTH
235087029,CAPITAL_HULL_BLUEPRINT_EXCLUDED
235088902,BATCH_VALUE_BELOW_FAST_FLOOR
235089092,BATCH_VALUE_BELOW_FAST_FLOOR
235089245,BATCH_VALUE_BELOW_FAST_FLOOR
235089359,ROUGH_ROI_BELOW_FAST_FLOOR
235089363,BATCH_VALUE_BELOW_FAST_FLOOR
235089409,ROUGH_ROI_BELOW_FAST_FLOOR
235089422,ROUGH_ROI_BELOW_FAST_FLOOR
235089982,BATCH_VALUE_BELOW_FAST_FLOOR
235090857,CAPITAL_HULL_BLUEPRINT_EXCLUDED
235091164,BATCH_VALUE_BELOW_FAST_FLOOR
235091175,BATCH_VALUE_BELOW_FAST_FLOOR
235091183,BATCH_VALUE_BELOW_FAST_FLOOR
235091338,MULTI_PRODUCT_BPC_PACK_SKIPPED_FAST_MODE
235091369,CAPITAL_HULL_BLUEPRINT_EXCLUDED
235091386,BATCH_VALUE_BELOW_FAST_FLOOR
235091396,BATCH_VALUE_BELOW_FAST_FLOOR
235091417,BATCH_VALUE_BELOW_FAST_FLOOR
235091832,BATCH_VALUE_BELOW_FAST_FLOOR
235092374,BATCH_VALUE_BELOW_FAST_FLOOR
235092409,STRUCTURE_BLUEPRINT_EXCLUDED
235092536,BATCH_VALUE_BELOW_FAST_FLOOR
235092553,BATCH_VALUE_BELOW_FAST_FLOOR
235092879,BATCH_VALUE_BELOW_FAST_FLOOR
235092960,BATCH_VALUE_BELOW_FAST_FLOOR
235092989,BATCH_VALUE_BELOW_FAST_FLOOR
235093394,BATCH_VALUE_BELOW_FAST_FLOOR
235093459,BATCH_VALUE_BELOW_FAST_FLOOR
235093466,BATCH_VALUE_BELOW_FAST_FLOOR
235093882,BATCH_VALUE_BELOW_FAST_FLOOR
235093885,BATCH_VALUE_BELOW_FAST_FLOOR
235093895,BATCH_VALUE_BELOW_FAST_FLOOR
235093924,BATCH_VALUE_BELOW_FAST_FLOOR
235094203,BATCH_VALUE_BELOW_FAST_FLOOR
235094265,BATCH_VALUE_BELOW_FAST_FLOOR
235094450,MULTI_PRODUCT_BPC_PACK_SKIPPED_FAST_MODE
235094482,MULTI_PRODUCT_BPC_PACK_SKIPPED_FAST_MODE
235094488,MULTI_PRODUCT_BPC_PACK_SKIPPED_FAST_MODE
235094923,STRUCTURE_BLUEPRINT_EXCLUDED
